Supplier,Supplier No.,Date,Payment Document,Currency,Invoice Document,Invoice Number,Check Message,Invoice Date,Gross Amount,Discount Amount,Net Amount
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810253,3015875,1336290,01/30/2024,"2,284.31",0.00,"2,284.31"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810254,3015877,1336817,01/30/2024,"1,370.06",0.00,"1,370.06"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810255,3015879,1337241,01/30/2024,599.54,0.00,599.54
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810256,3015880,1337330,01/30/2024,486.16,0.00,486.16
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810257,3015878,1337145,01/30/2024,978.54,0.00,978.54
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810258,3015881,1337649,01/30/2024,"1,822.80",0.00,"1,822.80"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810259,3015882,1337650,01/30/2024,"1,927.46",0.00,"1,927.46"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810260,3015884,1337652,01/30/2024,"2,179.14",0.00,"2,179.14"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810261,3015885,1337653,01/30/2024,"1,712.83",0.00,"1,712.83"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810262,3015883,1337651,01/30/2024,"2,014.12",0.00,"2,014.12"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810263,3015886,1337654,01/30/2024,"1,631.91",0.00,"1,631.91"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810264,3015888,1337656,01/30/2024,"1,972.00",0.00,"1,972.00"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810265,3015887,1337655,01/30/2024,"2,014.12",0.00,"2,014.12"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810266,3015889,1337657,01/30/2024,"1,913.34",0.00,"1,913.34"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810267,3015890,1337658,01/30/2024,"1,471.60",0.00,"1,471.60"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810268,3015894,1337662,01/30/2024,912.53,0.00,912.53
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810269,3015893,1337661,01/30/2024,325.63,0.00,325.63
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810270,3015891,1337659,01/30/2024,"1,530.99",0.00,"1,530.99"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810271,3015892,1337660,01/30/2024,899.07,0.00,899.07
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810272,3015895,1337663,01/30/2024,479.57,0.00,479.57
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810273,3015898,1337705,01/30/2024,516.40,0.00,516.40
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810274,3015899,1337706,01/30/2024,318.93,0.00,318.93
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810275,3015896,1337702,01/30/2024,454.84,0.00,454.84
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810276,3015897,1337704,01/30/2024,411.45,0.00,411.45
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810277,3015901,1337717,01/30/2024,443.78,0.00,443.78
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810278,3015900,1337708,01/30/2024,516.40,0.00,516.40
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810279,3015904,1337727,01/30/2024,451.78,0.00,451.78
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810280,3015902,1337719,01/30/2024,429.40,0.00,429.40
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810281,3015905,1337737,01/30/2024,494.33,0.00,494.33
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810282,3015906,1337740,01/30/2024,323.51,0.00,323.51
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810283,3015903,1337723,01/30/2024,454.09,0.00,454.09
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810284,3015912,1337960,01/30/2024,"1,037.57",0.00,"1,037.57"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810285,3015911,1337888,01/30/2024,"1,719.85",0.00,"1,719.85"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810286,3015910,1337756,01/30/2024,"3,617.91",0.00,"3,617.91"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810287,3015908,1337743,01/30/2024,471.42,0.00,471.42
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810288,3015907,1337742,01/30/2024,960.42,0.00,960.42
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810289,3015909,1337744,01/30/2024,"2,268.91",0.00,"2,268.91"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810290,3015915,1338777,01/30/2024,"1,982.85",0.00,"1,982.85"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1902810298,3015876,1336587,01/30/2024,"1,031.71",0.00,"1,031.71"
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1900031521,3015913,1338278,01/30/2024,650.81,0.00,650.81
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1900031522,3015914,1338280,01/30/2024,650.81,0.00,650.81
MAY TRUCKING COMPANY,0003000036,02/29/2024,2000503313,USD,1900031523,3015916,1338808,01/30/2024,650.81,0.00,650.81
Total Sum48383.70
